node_name,process_name,total_start,laststart,,total_fail,lastfail,,,,
fm57-c08b,ospl,1,2022-12-13 08:33:46.048775,,1,2022-12-13 10:31:36.664000,,,,
fm57-c08b,ospl,1,2022-12-13 14:02:51.069169,,1,2022-12-13 15:43:35.454041,,,,
fm57-c08b,ospl,1,2022-12-13 17:56:57.018627,,1,2022-12-13 19:01:09.798719,,,,
fm57-c08b,ospl,1,2022-12-14 13:54:19.931946,,1,2022-12-14 15:49:26.239042,,,,
fm57-c08b,ospl,1,2022-12-14 19:57:10.725277,,1,2022-12-14 21:28:21.216882,,,,
fm57-c08b,spliced,1,2022-12-12 20:51:34.518534,,1,2022-12-12 22:42:00.692436,,,,
fm57-c08b,spliced,1,2022-12-12 23:38:33.909524,,1,2022-12-13 04:15:59.272524,,,,
fm57-c08b,spliced,1,2022-12-13 08:33:46.094357,,1,2022-12-13 10:31:36.687690,,,,
fm57-c08b,spliced,1,2022-12-13 14:02:51.116959,,1,2022-12-13 15:43:35.474129,,,,
fm57-c08b,spliced,1,2022-12-13 17:56:57.070788,,1,2022-12-13 19:01:09.819593,,,,
fm57-c08b,spliced,1,2022-12-14 13:54:19.973247,,1,2022-12-14 15:49:26.260497,,,,
fm57-c08b,spliced,1,2022-12-14 19:57:10.765445,,1,2022-12-14 21:28:21.205905,,,,
fm57-c09b,durability,1,2022-12-12 20:51:36.186868,,1,2022-12-12 22:41:56.767132,,,,
fm57-c09b,durability,1,2022-12-12 23:38:34.894204,,1,2022-12-13 04:16:04.880543,,,,
fm57-c09b,durability,1,2022-12-13 17:56:58.154465,,1,2022-12-13 18:55:37.492459,,,,
fm57-c09b,durability,2,2022-12-13 21:15:57.285816,,1,2022-12-13 23:52:37.329349,,,,
fm57-c09b,durability,1,2022-12-14 13:54:21.280163,,1,2022-12-14 15:49:21.527757,,,,
fm57-c09b,durability,1,2022-12-14 19:57:10.394016,,1,2022-12-14 21:41:35.145139,,,,
fm57-c09b,durability,3,2022-12-15 03:17:32.469797,,2,2022-12-15 03:24:13.944902,,,,
fm57-c09b,networking,1,2022-12-12 23:38:34.876874,,1,2022-12-13 04:16:41.175621,,,,
fm57-c09b,ospl,1,2022-12-12 20:51:36.115215,,1,2022-12-12 22:42:01.296131,,,,
fm57-c09b,ospl,1,2022-12-12 23:38:34.818550,,1,2022-12-13 04:16:42.319962,,,,
fm57-c09b,ospl,1,2022-12-13 17:56:58.079078,,1,2022-12-13 18:55:54.590394,,,,
