node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail,,,,,
fm57-06,NavigationAid-persistent-run,1,2022-12-12 16:31:43.558372,2022-12-12 16:31:43.558372,1,2022-12-12 16:31:45.877707,2022-12-12 16:31:45.877707,2.68441581283696E-05,,0,2022-12-12 16:39:61,#¡VALOR!
fm57-06,Logger-run,1,2022-12-12 16:31:45.876330,2022-12-12 16:31:45.876330,1,2022-12-12 16:31:46.963389,2022-12-12 16:31:46.963389,1.25817023217678E-05,,0,2022-12-12 16:39:62,#¡VALOR!
fm57-07,Rms-node-run,3,2022-12-12 14:08:02.277998,2022-12-12 16:31:27.314721,1,2022-12-12 16:31:27.349600,2022-12-12 16:31:27.349600,4.03691956307739E-07,,0,2022-12-12 16:39:63,#¡VALOR!
fm57-08,Rms-node-run,3,2022-12-12 14:07:58.709718,2022-12-12 16:31:18.711246,1,2022-12-12 16:31:18.992530,2022-12-12 16:31:18.992530,3.25560540659353E-06,,0,2022-12-12 16:39:64,#¡VALOR!
fm57-09,Rms-node-run,3,2022-12-12 14:07:55.696291,2022-12-12 16:31:05.017980,1,2022-12-12 16:31:05.621549,2022-12-12 16:31:05.621549,6.98575604474172E-06,,0,2022-12-12 16:39:65,#¡VALOR!
fm57-09,Kinematics-remote-run,1,2022-12-12 16:31:16.515860,2022-12-12 16:31:16.515860,1,2022-12-12 16:31:18.949828,2022-12-12 16:31:18.949828,2.81709289993159E-05,,0,2022-12-12 16:39:66,#¡VALOR!
fm57-09,Exocet-run,3,2022-12-12 14:07:55.778038,2022-12-12 16:31:25.457065,1,2022-12-12 16:31:26.268023,2022-12-12 16:31:26.268023,9.38608718570322E-06,,0,2022-12-12 16:39:67,#¡VALOR!
fm57-10,Rms-node-run,3,2022-12-12 14:07:49.038938,2022-12-12 16:31:11.820554,1,2022-12-12 16:31:11.898332,2022-12-12 16:31:11.898332,9.0021057985723E-07,,0,2022-12-12 16:39:68,#¡VALOR!
fm57-11,Rms-node-run,3,2022-12-12 14:07:54.099320,2022-12-12 16:31:14.721701,1,2022-12-12 16:31:14.905256,2022-12-12 16:31:14.905256,2.12447775993496E-06,,0,2022-12-12 16:39:69,#¡VALOR!
fm57-11,Kinematics-remote-run,1,2022-12-12 16:31:19.558676,2022-12-12 16:31:19.558676,1,2022-12-12 16:31:20.841261,2022-12-12 16:31:20.841261,1.4844728866592E-05,,0,2022-12-12 16:39:70,#¡VALOR!
